[[!table  data="""
Package|Packaged by pkg-emacsen-addons?|Spacemacs|Doom Emacs
gradle-mode|todo|+lang/java|
graphviz-dot-mode|**DONE**|+lang/graphviz|
grep|todo|+spacemacs/spacemacs-navigation|
groovy-imports|todo|+lang/groovy|
groovy-mode|todo|+lang/groovy|lang/java
hack-mode|todo||lang/php
haml-mode|todo|+lang/html|
haskell-mode|**DONE**|+lang/haskell|
helm|**DONE**|+completion/helm|completion/helm
helm-ag|**DONE**|+completion/helm|
helm-c-yasnippet|todo|+completion/auto-completion|
helm-company|todo|+completion/auto-completion|
helm-cscope|todo|+tags/cscope|
helm-css-scss|todo|+lang/html|
helm-ctest|todo|+tools/cmake|
helm-dash|todo|+readers/dash|
helm-descbinds|todo|+completion/helm|completion/helm
helm-fasd|todo|+tools/fasd|
helm-flx|todo|+completion/helm|completion/helm
helm-games|todo|+fun/games|
helm-git-grep|todo|+source-control/git|
helm-gitignore|todo|+source-control/git|
helm-gtags|todo|+tags/gtags|
helm-hoogle|todo|+lang/haskell|
helm-ls-git|todo|+completion/helm|
helm-lsp|todo|+tools/lsp|
helm-make|todo|+completion/helm|
helm-mode|todo||completion/helm
helm-mode-manager|todo|+completion/helm|
helm-mu|todo|+email/mu4e|
helm-nixos-options|todo|+os/nixos|
helm-notmuch|todo|+email/notmuch|email/notmuch
helm-org|**DONE**|+emacs/org|completion/helm
helm-org-rifle|todo|+emacs/org|
helm-pass|todo|+tools/pass|
helm-projectile|**DONE**|+completion/helm|completion/helm
helm-purpose|todo|+spacemacs/spacemacs-purpose|
helm-pydoc|todo|+lang/python|
helm-rcirc|todo|+chat/rcirc|
helm-rtags|**DONE**|+lang/c-c++|
helm-spacemacs-faq|todo|+completion/helm|
helm-spacemacs-help|todo|+completion/helm|
helm-spotify-plus|todo|+music/spotify|
helm-swoop|todo|+completion/helm|
helm-taskrunner|todo||tools/taskrunner
helm-themes|todo|+completion/helm|
helm-xref|todo|+completion/helm|tools/lookup
help-fns|todo|+spacemacs/spacemacs-defaults|
helpful|**DONE**|+emacs/helpful|
hexl|todo|+spacemacs/spacemacs-editing|
hide-comnt|todo|+spacemacs/spacemacs-editing-visual|
hideshow|todo||editor/fold
highlight-indent-guides|todo||ui/indent-guides
highlight-indentation|**DONE**|+spacemacs/spacemacs-editing-visual|
highlight-numbers|**DONE**|+spacemacs/spacemacs-editing-visual|
